step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode
5.0,12,0,0,0,12,0,0.0,0.0,13.63114230141652,0,0.0,0.9336075781070834,0,0.0,0
10.0,12,0,0,0,12,0,0.0,0.0,11.87207401941663,0,0.0,0.8132426613278753,0,0.0,0
15.0,18,0,4,0,18,0,7.0,0.3888888888888889,8.127065601383649,4,7.0,0.4705153598122733,4,7.0,0
20.0,17,0,1,1,18,0,1.0,0.0588235294117647,10.095611925020206,0,6.0,0.7284846944151561,0,6.0,0
25.0,20,0,3,4,24,0,3.0,0.15,9.262841383140511,3,3.0,0.5206973463473611,3,3.0,0
30.0,18,0,6,6,24,0,28.0,1.5555555555555556,8.608723048358229,6,28.0,0.4547958880340927,6,28.0,0
35.0,17,0,7,11,28,0,59.0,3.4705882352941178,4.998976970162445,7,59.0,0.3352104310663809,7,59.0,0
40.0,22,0,0,12,34,0,0.0,0.0,7.108588941713008,0,42.0,0.5247923118009334,0,42.0,0
45.0,26,0,0,12,38,0,0.0,0.0,8.856230819903661,0,6.0,0.5943192341076059,0,6.0,0
50.0,28,0,2,12,40,0,3.0,0.1071428571428571,8.954737380423055,1,2.0,0.4766235270558984,1,2.0,0
55.0,27,0,7,17,44,0,32.0,1.1851851851851851,8.439880998634319,6,26.0,0.4591607204529592,6,26.0,0
60.0,21,0,2,23,44,0,4.0,0.1904761904761904,9.018392047148565,2,17.0,0.550726705645469,2,17.0,0
65.0,23,0,3,27,50,0,18.0,0.782608695652174,9.136725183135097,3,25.0,0.4712395539146747,3,25.0,0
70.0,19,0,8,31,50,0,48.0,2.526315789473684,7.089918313255224,8,55.0,0.3514744472265305,8,55.0,0
75.0,26,0,11,36,62,0,93.0,3.576923076923077,5.738602823021722,11,100.0,0.4195865035014945,11,100.0,0
80.0,26,0,3,36,62,0,13.0,0.5,6.539882264028473,3,78.0,0.529994858976299,3,78.0,0
85.0,32,0,6,36,68,0,15.0,0.46875,6.295744069785156,4,49.0,0.4352913613096515,4,49.0,0
90.0,32,0,9,36,68,0,34.0,1.0625,6.505477546064029,9,52.0,0.3148239474563623,9,52.0,0
95.0,33,0,8,39,72,0,50.0,1.5151515151515151,7.795990367489275,7,62.0,0.4085841958229917,7,62.0,0
100.0,30,0,3,44,74,0,6.0,0.2,7.403946473153187,3,48.0,0.3796250660409048,3,48.0,0
105.0,30,0,8,48,78,0,37.0,1.2333333333333334,6.652884330541104,8,61.0,0.3457852286820755,8,61.0,0
110.0,32,0,14,52,84,0,94.0,2.9375,6.840005193145817,14,118.0,0.3897950456388437,14,118.0,0
115.0,28,2,14,58,86,0,164.0,5.857142857142857,5.467739430205355,14,188.0,0.3708401766624039,14,188.0,0
120.0,28,0,7,60,88,0,41.0,1.4642857142857142,3.857368544633025,7,158.0,0.2775201867900003,7,158.0,0
