run,agent,episode_return,discounted_return,mean_return,R_bar,theta_norm,theta_change,theta_update_norm
1,t,-371710.0,-117886.90702890675,-1858.55,-1727.9734666651123,25.17821229026072,0.0,0.0
2,t,-151272.0,-43545.90192201837,-756.36,-1898.8634037490517,26.56896003038115,0.0,0.0
3,t,-672487.0,-215197.87331207222,-3362.435,-5054.121193222652,26.86986703139187,0.0,0.0
4,t,-143840.0,-70642.92721595644,-719.2,-633.8558402253881,25.03993792180413,0.0,0.0
5,t,-500821.0,-139063.58355716005,-2504.105,-4986.440290262975,29.97319819988446,0.0,0.0
6,t,-221355.0,-78257.8359150931,-1106.775,-2727.766555002462,28.271576956711737,0.0,0.0
7,t,-226870.0,-77325.32598067685,-1134.35,-2735.3077367797364,26.395471976136104,0.0,0.0
8,t,-637516.0,-205425.91847941466,-3187.58,-4759.720446429021,26.737325417326662,0.0,0.0
9,t,-644470.0,-180675.35497020505,-3222.35,-5571.8702724034865,27.820710186948308,0.0,0.0
10,t,-712417.0,-238358.27500631276,-3562.085,-5148.408250849802,22.495623082811402,0.0,0.0
