episode,steps,mean_waiting,sum_waiting,max_waiting
0,200,2.565,513.0,186.0
1,200,1.07,214.0,295.0
2,200,2.205,441.0,231.0
3,200,0.315,63.0,100.0
4,200,0.99,198.0,150.0
5,200,0.805,161.0,130.0
6,200,1.8,360.0,140.0
7,200,2.755,551.0,130.0
8,200,0.275,55.0,80.0
9,200,0.77,154.0,158.0
10,200,0.24,48.0,279.0
11,200,3.825,765.0,291.0
12,200,2.425,485.0,171.0
13,200,0.3,60.0,261.0
14,200,1.225,245.0,198.0
15,200,0.64,128.0,357.0
16,200,1.025,205.0,182.0
17,200,1.475,295.0,172.0
18,200,0.08,16.0,100.0
19,200,0.485,97.0,159.0
20,200,3.53,706.0,332.0
21,200,0.185,37.0,130.0
22,200,0.5,100.0,130.0
23,200,1.795,359.0,153.0
24,200,0.54,108.0,150.0
25,200,0.475,95.0,119.0
26,200,0.61,122.0,118.0
27,200,0.015,3.0,80.0
28,200,0.515,103.0,180.0
29,200,0.09,18.0,100.0
30,200,2.05,410.0,108.0
31,200,0.765,153.0,120.0
32,200,1.415,283.0,156.0
33,200,2.185,437.0,129.0
34,200,1.145,229.0,173.0
35,200,1.835,367.0,101.0
36,200,0.265,53.0,118.0
37,200,0.0,0.0,80.0
38,200,0.825,165.0,216.0
39,200,1.18,236.0,164.0
40,200,0.285,57.0,263.0
41,200,1.385,277.0,171.0
42,200,0.94,188.0,337.0
43,200,0.15,30.0,101.0
44,200,7.265,1453.0,193.0
45,200,0.635,127.0,157.0
46,200,0.12,24.0,100.0
47,200,0.435,87.0,139.0
48,200,0.32,64.0,130.0
49,200,0.605,121.0,162.0
