step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,12,0,0,0,12,0,0.0,0.0,11.797738151687106,0,0.0,0.8459501760296116,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,12.143370962370492,0,0.0,0.8693771811924488,0,0.0
15.0,18,0,2,0,18,0,3.0,0.16666666666666666,7.44725288222207,2,3.0,0.4742617767306649,2,3.0
20.0,18,0,6,0,18,0,31.0,1.7222222222222223,8.560445722664348,6,31.0,0.44605189649516364,6,31.0
25.0,22,0,1,2,24,0,1.0,0.045454545454545456,8.491175419098356,1,15.0,0.5031597605970031,1,15.0
30.0,18,0,5,6,24,0,19.0,1.0555555555555556,9.086293614107156,5,19.0,0.4918231574541471,5,19.0
35.0,21,0,6,7,28,0,45.0,2.142857142857143,6.552206237909083,6,45.0,0.28296101521566847,6,45.0
40.0,23,0,0,11,34,0,0.0,0.0,8.497194975704037,0,29.0,0.6165884900691626,0,29.0
45.0,25,0,2,13,38,0,6.0,0.24,9.024984392883031,1,7.0,0.6407881809008236,1,7.0
50.0,27,0,3,13,40,0,4.0,0.14814814814814814,8.769446234324517,3,15.0,0.46097273467998606,3,15.0
55.0,26,0,5,18,44,0,28.0,1.0769230769230769,9.593960938355092,4,24.0,0.541211829210795,4,24.0
60.0,20,0,2,24,44,0,3.0,0.15,8.63486330265832,2,11.0,0.5350198203223195,2,11.0
65.0,23,0,4,27,50,0,17.0,0.7391304347826086,8.154921072269735,4,17.0,0.3841612011606534,4,17.0
70.0,19,0,8,31,50,0,53.0,2.789473684210526,7.293822289388194,8,53.0,0.37041008095114875,8,53.0
75.0,26,0,10,36,62,0,97.0,3.730769230769231,5.9645623711679585,10,97.0,0.4321361443179554,10,97.0
80.0,26,0,3,36,62,0,8.0,0.3076923076923077,6.9171263542376895,2,78.0,0.5539229719161037,2,78.0
85.0,32,0,4,36,68,0,11.0,0.34375,6.019959343697512,3,44.0,0.3743358969839505,3,44.0
90.0,32,0,11,36,68,0,53.0,1.65625,6.97757577123018,9,56.0,0.34480648380260337,9,56.0
95.0,32,0,9,40,72,0,66.0,2.0625,6.716099648868417,8,71.0,0.34835604186972513,8,71.0
100.0,29,0,3,45,74,0,5.0,0.1724137931034483,7.497161808984623,3,50.0,0.40997394115341296,3,50.0
105.0,29,0,8,49,78,0,40.0,1.3793103448275863,7.369824132226243,8,65.0,0.34714254624512886,8,65.0
110.0,30,0,14,54,84,0,95.0,3.1666666666666665,6.722689732393333,14,120.0,0.3825067005221543,14,120.0
115.0,28,2,15,58,86,0,166.0,5.928571428571429,5.104718017086367,15,191.0,0.3445450890063167,15,191.0
120.0,28,0,7,60,88,0,40.0,1.4285714285714286,3.7997799403403802,7,161.0,0.30970453056972985,7,161.0
125.0,32,2,8,60,92,0,25.0,0.78125,4.7597968166888345,6,137.0,0.2890331225912543,6,137.0
130.0,34,0,13,60,94,0,88.0,2.588235294117647,5.39318624162923,11,173.0,0.26840254819037546,11,173.0
135.0,35,2,16,63,98,0,165.0,4.714285714285714,6.005451587617347,14,240.0,0.3178827747932434,14,240.0
140.0,33,0,7,67,100,0,51.0,1.5454545454545454,6.094503194875243,7,242.0,0.27486678955957844,7,242.0
145.0,34,2,10,72,106,0,43.0,1.2647058823529411,6.715944116031475,10,283.0,0.34450336174238017,10,283.0
150.0,37,0,18,75,112,0,115.0,3.108108108108108,6.3285017391272795,18,355.0,0.35950440043282267,18,355.0
155.0,33,0,8,79,112,0,60.0,1.8181818181818181,4.1086305871248125,8,304.0,0.24990262855438836,8,304.0
160.0,37,0,8,81,118,0,20.0,0.5405405405405406,5.021461883049773,6,259.0,0.3005613906572972,6,259.0
165.0,37,0,16,81,118,0,84.0,2.27027027027027,4.762966132527248,14,307.0,0.1519428910021963,14,307.0
170.0,40,0,11,84,124,0,32.0,0.8,5.349531141857954,11,328.0,0.23319154959037178,11,328.0
175.0,35,0,14,89,124,0,58.0,1.6571428571428573,5.079868384004298,14,369.0,0.1757336426610563,14,369.0
180.0,35,0,22,93,128,0,149.0,4.257142857142857,4.071956645895149,22,461.0,0.12840074948670155,22,461.0
185.0,36,0,13,98,134,0,99.0,2.75,4.580637635567092,12,406.0,0.27873888943593605,12,406.0
190.0,38,0,5,100,138,0,14.0,0.3684210526315789,5.496123274672335,3,329.0,0.345385374678735,3,329.0
195.0,40,0,13,100,140,0,60.0,1.5,5.60764720191398,11,345.0,0.2714617514419952,11,345.0
200.0,39,0,19,105,144,0,148.0,3.7948717948717947,5.134798289661128,17,418.0,0.23745489027697517,17,418.0
205.0,38,0,15,108,146,0,80.0,2.1052631578947367,5.262469690904442,15,467.0,0.22929539099297527,15,467.0
210.0,37,0,13,113,150,0,61.0,1.6486486486486487,4.858950293262511,13,532.0,0.2047283349971315,13,532.0
215.0,34,0,22,116,150,0,156.0,4.588235294117647,3.3505647487680887,22,627.0,0.11524247538866253,22,627.0
220.0,41,0,16,121,162,0,105.0,2.5609756097560976,4.186593570918444,15,554.0,0.3186086709768939,15,554.0
225.0,41,0,9,121,162,0,39.0,0.9512195121951219,5.145983524944195,7,553.0,0.3480184880594133,7,553.0
230.0,47,0,12,121,168,0,66.0,1.4042553191489362,4.960578019350781,10,579.0,0.25884374029845314,10,579.0
235.0,44,0,20,124,168,0,126.0,2.8636363636363638,4.466937994890594,19,591.0,0.1490620074825775,19,591.0
240.0,43,0,21,129,172,0,202.0,4.6976744186046515,5.167726948831571,20,637.0,0.20565275964325308,20,637.0
245.0,40,0,11,134,174,0,97.0,2.425,4.9314568083082655,11,661.0,0.23712998549369815,11,661.0
250.0,40,0,14,138,178,0,71.0,1.775,3.8084845847111795,14,696.0,0.13047385402561865,14,696.0
255.0,43,0,20,141,184,0,126.0,2.9302325581395348,5.131358214602851,20,784.0,0.2607041064122418,20,784.0
260.0,44,0,15,144,188,0,92.0,2.090909090909091,4.23154575314359,15,694.0,0.24246970942693544,15,694.0
265.0,42,0,12,148,190,0,50.0,1.1904761904761905,4.877674990831049,10,662.0,0.2856365084725579,10,662.0
270.0,46,0,13,148,194,0,61.0,1.326086956521739,5.180447680453764,11,707.0,0.2316006763253204,11,707.0
275.0,41,0,13,153,194,0,48.0,1.170731707317073,4.291911783721486,13,740.0,0.15050753080510357,13,740.0
280.0,43,0,15,157,200,0,65.0,1.5116279069767442,4.491152358786258,15,810.0,0.18552315584629905,15,810.0
285.0,39,0,23,161,200,0,142.0,3.641025641025641,3.0171932905053165,23,914.0,0.11238214889379228,23,914.0
290.0,44,2,16,166,210,0,97.0,2.2045454545454546,4.246441676382367,16,814.0,0.28304408613272847,16,814.0
295.0,46,0,10,166,212,0,47.0,1.0217391304347827,5.592034358296584,8,739.0,0.337114990579995,8,739.0
300.0,48,2,13,166,214,0,59.0,1.2291666666666667,4.811774925708299,11,784.0,0.21526529841015546,11,784.0
305.0,48,0,22,170,218,0,125.0,2.6041666666666665,4.186096986428217,21,865.0,0.14640765564448185,21,865.0
310.0,46,2,19,174,220,0,87.0,1.891304347826087,4.630131098858463,18,937.0,0.18174250518460303,18,937.0
315.0,45,0,21,179,224,0,94.0,2.088888888888889,4.334173619672711,21,1021.0,0.1580248132059824,21,1021.0
320.0,43,2,23,183,226,0,156.0,3.627906976744186,3.1838119114303636,23,1128.0,0.09751124292238911,23,1128.0
325.0,45,2,32,187,232,0,299.0,6.644444444444445,3.0380225266860945,32,1273.0,0.18457479573577842,32,1273.0
330.0,45,0,25,189,234,0,254.0,5.644444444444445,2.055179576109948,24,1186.0,0.13906312756606676,24,1186.0
335.0,49,0,18,189,238,0,155.0,3.163265306122449,3.89262064144929,16,1228.0,0.2272709987993798,16,1228.0
340.0,51,0,18,189,240,0,117.0,2.2941176470588234,4.106160131177928,16,1280.0,0.14763951156988783,16,1280.0
345.0,50,0,22,194,244,0,153.0,3.06,3.8148964385379127,21,1370.0,0.13401180819883368,21,1370.0
350.0,48,0,23,198,246,0,210.0,4.375,4.204526790778823,22,1262.0,0.1699417522645985,22,1262.0
355.0,48,0,17,202,250,0,116.0,2.4166666666666665,4.042309148047276,17,1317.0,0.1428966072435956,17,1317.0
360.0,45,0,19,205,250,0,125.0,2.7777777777777777,3.599761412981832,19,1405.0,0.09309015439950266,19,1405.0
365.0,52,0,23,210,262,0,147.0,2.826923076923077,3.8450841427316695,23,1506.0,0.2141092018902011,23,1506.0
370.0,48,0,31,214,262,0,275.0,5.729166666666667,2.423485096002769,31,1645.0,0.17072994396096994,31,1645.0
375.0,54,0,32,214,268,0,233.0,4.314814814814815,2.396513469077049,30,1533.0,0.1284318567292366,30,1533.0
380.0,54,0,27,214,268,0,199.0,3.685185185185185,2.39221659291967,25,1613.0,0.0717081148681034,25,1613.0
385.0,57,1,24,216,273,0,193.0,3.3859649122807016,3.837920863077734,22,1691.0,0.15037917750557753,22,1691.0
390.0,55,0,21,219,274,0,196.0,3.5636363636363635,3.7918194775185605,19,1775.0,0.12552992241753946,19,1775.0
395.0,54,0,22,224,278,0,117.0,2.1666666666666665,3.479769175050742,22,1828.0,0.11344969533916946,22,1828.0
400.0,55,0,30,229,284,0,147.0,2.672727272727273,3.537295808867936,30,1968.0,0.15127699436186703,30,1968.0
405.0,56,0,32,232,288,0,234.0,4.178571428571429,2.68479336329463,32,2130.0,0.1376513739818344,32,2130.0
410.0,54,0,37,236,290,0,353.0,6.537037037037037,1.6203110374839993,37,2311.0,0.06869726410234955,37,2311.0
415.0,58,0,43,236,294,0,515.0,8.879310344827585,1.9791670579342473,43,2505.0,0.08464471162387485,43,2505.0
420.0,55,0,49,239,294,0,749.0,13.618181818181819,0.7609541554756662,49,2742.0,0.03935979083720057,49,2742.0
425.0,58,2,54,240,298,0,1009.0,17.396551724137932,0.7835338492297388,54,3002.0,0.060683702965578824,54,3002.0
430.0,58,2,54,240,298,0,1279.0,22.051724137931036,0.24173361201695795,54,3272.0,0.021598606644134374,54,3272.0
435.0,68,4,58,240,308,0,1564.0,23.0,1.7641112430057302,58,3557.0,0.12710755890687256,58,3557.0
440.0,68,4,58,240,308,0,1854.0,27.264705882352942,1.2261237314619764,58,3847.0,0.08821021826584252,58,3847.0
445.0,72,6,62,240,312,0,2158.0,29.97222222222222,1.5981707960574179,62,4151.0,0.0825316367311491,62,4151.0
450.0,72,6,64,240,312,0,2470.0,34.30555555555556,1.0084942027954522,64,4463.0,0.0014674936560370004,64,4463.0
455.0,74,6,66,242,316,0,2798.0,37.810810810810814,1.1645359306033396,66,4791.0,0.038194249627988085,66,4791.0
