episode,steps,mean_waiting,sum_waiting,max_waiting
0,200,3.105,621.0,355.0
1,200,0.12,24.0,51.0
2,200,0.27,54.0,47.0
3,200,0.285,57.0,50.0
4,200,0.065,13.0,50.0
5,200,0.32,64.0,49.0
6,200,0.335,67.0,43.0
7,200,0.045,9.0,53.0
8,200,0.275,55.0,45.0
9,200,0.05,10.0,56.0
10,200,0.03,6.0,67.0
11,200,19.51,3902.0,315.0
12,200,0.28,56.0,50.0
13,200,0.06,12.0,54.0
14,200,0.28,56.0,54.0
15,200,0.29,58.0,55.0
16,200,0.0,0.0,54.0
17,200,0.245,49.0,47.0
18,200,0.275,55.0,50.0
19,200,0.09,18.0,61.0
20,200,0.135,27.0,62.0
21,200,0.095,19.0,53.0
22,200,29.17,5834.0,360.0
23,200,0.18,36.0,49.0
24,200,0.005,1.0,60.0
25,200,0.035,7.0,52.0
26,200,0.305,61.0,49.0
27,200,0.385,77.0,46.0
28,200,0.025,5.0,46.0
29,200,0.225,45.0,49.0
30,200,0.2,40.0,60.0
31,200,0.005,1.0,63.0
32,200,0.355,71.0,53.0
33,200,20.1,4020.0,360.0
34,200,0.06,12.0,50.0
35,200,0.285,57.0,60.0
36,200,0.275,55.0,65.0
37,200,0.065,13.0,55.0
38,200,0.14,28.0,50.0
39,200,0.275,55.0,60.0
40,200,0.29,58.0,54.0
41,200,0.29,58.0,53.0
42,200,0.315,63.0,53.0
43,200,0.295,59.0,58.0
44,200,10.89,2178.0,319.0
45,200,0.26,52.0,51.0
46,200,0.485,97.0,360.0
47,200,28.285,5657.0,360.0
48,200,6.81,1362.0,360.0
49,200,0.02,4.0,247.0
