step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode
5.0,12,0,0,0,12,0,0.0,0.0,12.345830677581482,0,0.0,0.9198039722139258,0,0.0,0
10.0,12,0,0,0,12,0,0.0,0.0,11.28209779387173,0,0.0,0.8490747224108878,0,0.0,0
15.0,18,0,6,0,18,0,15.0,0.8333333333333334,6.104925288225791,6,15.0,0.432363468794287,6,15.0,0
20.0,18,0,6,0,18,0,45.0,2.5,7.879459895067732,6,45.0,0.4368605768602358,6,45.0,0
25.0,24,0,6,0,24,0,75.0,3.125,8.764456701067333,6,75.0,0.5048392158034261,6,75.0,0
30.0,19,0,7,5,24,0,109.0,5.7368421052631575,8.04306279975116,6,105.0,0.4558504470943496,6,105.0,0
35.0,19,0,6,9,28,0,135.0,7.105263157894737,7.287306896620394,6,135.0,0.4536580874448408,6,135.0,0
40.0,25,0,6,9,34,0,165.0,6.6,9.34012081915896,6,165.0,0.589070161338147,6,165.0,0
45.0,26,0,6,12,38,0,195.0,7.5,9.280217708769898,6,195.0,0.5534417124240865,6,195.0,0
50.0,23,0,8,17,40,0,229.0,9.956521739130435,7.058141624792768,8,229.0,0.3528611188292955,8,229.0,0
55.0,25,0,10,19,44,0,279.0,11.16,7.3715723926131105,10,279.0,0.346820080055413,10,279.0,0
60.0,21,0,10,23,44,0,329.0,15.666666666666666,6.100590295031479,10,329.0,0.2573802245261652,10,329.0,0
65.0,24,0,10,26,50,0,379.0,15.791666666666666,6.783693446879312,10,379.0,0.3685104952093681,10,379.0,0
70.0,22,0,10,28,50,0,429.0,19.5,6.925383895626099,10,429.0,0.351425004756614,10,429.0,0
75.0,32,0,12,30,62,0,481.0,15.03125,7.445139231712999,10,479.0,0.4970410692041413,10,479.0,0
80.0,28,0,10,34,62,0,529.0,18.892857142857142,7.706451820409894,10,529.0,0.4941195327124289,10,529.0,0
85.0,34,0,12,34,68,0,581.0,17.08823529411765,6.389118821203017,12,581.0,0.3207751266505506,12,581.0,0
90.0,28,0,16,40,68,0,657.0,23.464285714285715,4.985453749871972,16,657.0,0.2580915431145825,16,657.0,0
95.0,32,0,16,40,72,0,737.0,23.03125,5.748825948897035,16,737.0,0.2286015936443007,16,737.0,0
100.0,32,0,16,42,74,0,817.0,25.53125,6.516467365519092,16,817.0,0.2611138304145397,16,817.0,0
105.0,31,0,16,47,78,0,897.0,28.93548387096774,6.172953531334081,16,897.0,0.2937924605079201,16,897.0,0
110.0,32,0,16,52,84,0,977.0,30.53125,5.898261637571503,16,977.0,0.3608906124460481,16,977.0,0
115.0,34,2,16,52,86,0,1057.0,31.08823529411765,6.844753500730752,16,1057.0,0.3650172950720075,16,1057.0,0
120.0,32,0,16,56,88,0,1137.0,35.53125,4.544203432443171,16,1137.0,0.1820110140317989,16,1137.0,0
125.0,34,2,20,58,92,0,1232.0,36.23529411764706,5.501561297543213,20,1232.0,0.2233156293980895,20,1232.0,0
130.0,33,0,20,61,94,0,1332.0,40.36363636363637,4.844815774101497,20,1332.0,0.2031965489364074,20,1332.0,0
135.0,34,2,21,64,98,0,1433.0,42.14705882352941,4.812467304479039,20,1432.0,0.2414723241829978,20,1432.0,0
140.0,32,0,20,68,100,0,1532.0,47.875,4.3329450992169125,20,1532.0,0.2120711524723384,20,1532.0,0
145.0,38,2,20,68,106,0,1632.0,42.94736842105263,6.04896631450016,20,1632.0,0.3086832931075394,20,1632.0,0
150.0,40,0,20,72,112,0,1732.0,43.3,5.710661983231089,20,1732.0,0.3307014914275425,20,1732.0,0
155.0,37,0,20,75,112,0,1832.0,49.51351351351352,3.905324960564504,20,1832.0,0.179485601094734,20,1832.0,0
160.0,41,0,28,77,118,0,1958.0,47.75609756097561,3.7741773385840407,26,1955.0,0.1798280067094456,26,1955.0,0
165.0,38,0,26,80,118,0,2085.0,54.86842105263158,3.4772897404826915,26,2085.0,0.1523085873049838,26,2085.0,0
170.0,44,0,26,80,124,0,2215.0,50.34090909090909,4.737303179762278,26,2215.0,0.1660059645582929,26,2215.0,0
175.0,39,0,15,85,124,0,687.0,17.615384615384617,5.160831851332639,14,1681.0,0.232657867036146,14,1681.0,0
180.0,39,0,3,89,128,0,9.0,0.2307692307692307,6.503804916209373,2,918.0,0.3457509076974846,2,918.0,0
