run,agent,episode_return,discounted_return,mean_return,R_bar,theta_norm,theta_change,theta_update_norm,episode_total_wait,mean_wait_per_vehicle,epsilon
1,t,-527851.0,-152196.44507272143,-2639.255,10711.677464028748,1.4142135623730951,1.4142135623730951,1.4142135623730951,11810.0,16.87142857142857,0.0409324414739318
2,t,-1175388.0,-294006.6640487078,-5876.94,21097.631561123027,1.414213562373095,0.015224223798387018,0.015224223798387018,22525.0,32.503607503607505,0.033509295300337034
3,t,-2336545.0,-556296.9438080115,-11682.725,27667.111873985883,1.4142135623730951,0.01785470449631103,0.01785470449631103,28856.0,42.81305637982196,0.02743234537427489
4,t,-1914007.0,-491597.0675391292,-9570.035,27575.80717737374,1.414213562373095,0.011735891551252826,0.011735891551252826,29015.0,42.7319587628866,0.02245745743050378
5,t,-1382857.0,-334202.29765234014,-6914.285,22025.59509487904,1.414213562373095,0.010216078073103065,0.010216078073103065,23455.0,33.992753623188406,0.01838477123854821
6,t,-1993990.0,-557038.1744882248,-9969.95,27320.431686592936,1.4142135623730951,0.015235362494462184,0.015235362494462184,28760.0,42.294117647058826,0.015050671454669998
7,t,-3393756.0,-882723.7194522829,-16968.78,43551.00001203861,1.414213562373095,0.00788250111558582,0.00788250111558582,44991.0,69.43055555555556,0.012321214569233113
8,t,-4256614.0,-1076428.125932398,-21283.07,52719.00000001874,1.414213562373095,0.0021409289132362733,0.0021409289132362733,54159.0,85.69462025316456,0.01008674788485781
9,t,-3409009.0,-888083.6773106771,-17045.045,43534.000015442994,1.414213562373095,0.004778098359282986,0.004778098359282986,44974.0,69.40432098765432,0.01
10,t,-4255692.0,-1076120.2094869432,-21278.46,52713.000000018656,1.4142135623730951,0.001801177511530332,0.001801177511530332,54153.0,85.68512658227849,0.01
11,t,-2550517.0,-670201.8505902427,-12752.585,22621.455068282332,1.4142135623730951,0.01260228751448875,0.01260228751448875,24003.0,35.350515463917525,0.01
12,t,-4256940.0,-1076432.171127385,-21284.7,52723.000000018656,1.4142135623730951,0.0017794915123704094,0.0017794915123704094,54163.0,85.70094936708861,0.01
13,t,-3926689.0,-1026730.2965831218,-19633.445,38167.1288008443,1.4142135623730951,0.010208670682303245,0.010208670682303245,39508.0,60.96913580246913,0.01
14,t,-2828465.0,-687736.9155661302,-14142.325,32364.446409999353,1.414213562373095,0.010190532474158378,0.010190532474158378,33776.0,50.94419306184012,0.01
15,t,-3063367.0,-721442.7069136072,-15316.835,43828.00000985869,1.4142135623730951,0.0022400045433075685,0.0022400045433075685,45268.0,69.75038520801233,0.01
16,t,-3842433.0,-1011522.9849047398,-19212.165,38744.74657477184,1.414213562373095,0.010898386164662618,0.010898386164662618,40165.0,61.983024691358025,0.01
17,t,-4257365.0,-1076631.51964603,-21286.825,52725.00000001813,1.414213562373095,0.00221255911766649,0.00221255911766649,54165.0,85.70411392405063,0.01
18,t,-3244528.0,-760049.2432922991,-16222.64,45502.00000167216,1.4142135623730951,0.002158716296196851,0.002158716296196851,46942.0,72.6656346749226,0.01
19,t,-1915664.0,-509953.8237326809,-9578.32,19931.940574522065,1.4142135623730951,0.015203185183662118,0.015203185183662118,21330.0,30.868306801736615,0.01
20,t,-3399882.0,-883870.4677637003,-16999.41,43626.00001165827,1.4142135623730951,0.008306758972759067,0.008306758972759067,45066.0,69.54629629629629,0.01
21,t,-3212648.0,-775245.7757542732,-16063.24,44796.000002572764,1.4142135623730951,0.002548378861221166,0.002548378861221166,46236.0,71.46213292117466,0.01
22,t,-4256408.0,-1076216.4178476043,-21282.04,52720.00000001842,1.4142135623730951,0.002299015598740953,0.002299015598740953,54160.0,85.69620253164557,0.01
23,t,-3512453.0,-838987.196992208,-17562.265,47534.000000456654,1.4142135623730951,0.0024017981972742166,0.0024017981972742166,48974.0,76.2834890965732,0.01
24,t,-1890400.0,-397855.55052380264,-9452.0,33573.00212948112,1.4142135623730951,0.0024915100204080014,0.0024915100204080014,35013.0,52.336322869955154,0.01
25,t,-3063988.0,-720573.5032357328,-15319.94,43855.00000958675,1.4142135623730951,0.0023519065180383266,0.0023519065180383266,45295.0,69.79198767334361,0.01
26,t,-3278352.0,-832074.3668344157,-16391.76,43963.00000624062,1.4142135623730951,0.0035495023275423296,0.0035495023275423296,45403.0,70.06635802469135,0.01
27,t,-4257025.0,-1076645.751436265,-21285.125,52720.000000018474,1.4142135623730951,0.0021828850993838617,0.0021828850993838617,54160.0,85.69620253164557,0.01
28,t,-3065245.0,-719945.0277506947,-15326.225,43881.00000945848,1.4142135623730951,0.002194384260707454,0.002194384260707454,45321.0,69.83204930662558,0.01
29,t,-4259248.0,-1077459.2108886198,-21296.24,52733.000000018925,1.4142135623730951,0.002105106418806035,0.002105106418806035,54173.0,85.71677215189874,0.01
30,t,-2895535.0,-776709.036763395,-14477.675,33333.03390297094,1.4142135623730951,0.009010902312261405,0.009010902312261405,34771.0,52.444947209653094,0.01
