step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,12,0,0,0,12,0,0.0,0.0,12.54114979610002,0,0.0,0.8963129604953263,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,11.347040518857794,0,0.0,0.8305924573451108,0,0.0
15.0,18,0,3,0,18,0,6.0,0.3333333333333333,6.886569319711585,3,6.0,0.4743101761012959,3,6.0
20.0,18,0,6,0,18,0,34.0,1.8888888888888888,8.401944598315223,6,34.0,0.4585795498340388,6,34.0
25.0,22,0,6,2,24,0,64.0,2.909090909090909,7.789364831443689,6,64.0,0.4468733092332387,6,64.0
30.0,18,0,6,6,24,0,94.0,5.222222222222222,8.2403431034629,6,94.0,0.45406517625513815,6,94.0
35.0,22,0,6,6,28,0,124.0,5.636363636363637,8.485776549229515,6,124.0,0.45790656707791155,6,124.0
40.0,22,0,6,12,34,0,154.0,7.0,8.493161613515614,6,154.0,0.5799572750553189,6,154.0
45.0,26,0,6,12,38,0,184.0,7.076923076923077,8.78453252163318,6,184.0,0.5252660872316374,6,184.0
50.0,24,0,10,16,40,0,224.0,9.333333333333334,6.888853331828421,10,224.0,0.3854474812692651,10,224.0
55.0,25,0,10,19,44,0,274.0,10.96,6.843234034545303,10,274.0,0.38329995778115517,10,274.0
60.0,22,0,10,22,44,0,324.0,14.727272727272727,6.05334377080161,10,324.0,0.31261510738769754,10,324.0
65.0,27,0,11,23,50,0,375.0,13.88888888888889,7.234381657125884,10,374.0,0.38746677264823315,10,374.0
70.0,23,0,10,27,50,0,424.0,18.434782608695652,6.572209933271618,10,424.0,0.3277695764429027,10,424.0
75.0,34,0,11,28,62,0,476.0,14.0,7.760219461757517,10,474.0,0.5104775864101384,10,474.0
80.0,29,0,10,33,62,0,524.0,18.06896551724138,7.437165653432143,10,524.0,0.48420146576717876,10,524.0
85.0,34,0,13,34,68,0,579.0,17.029411764705884,6.542021909040995,13,579.0,0.3616629770318797,13,579.0
90.0,30,0,16,38,68,0,656.0,21.866666666666667,5.017650425435818,16,656.0,0.255047795698756,16,656.0
95.0,32,0,16,40,72,0,736.0,23.0,6.184882829284442,16,736.0,0.30342233090015813,16,736.0
100.0,33,0,16,41,74,0,816.0,24.727272727272727,5.916860084975137,16,816.0,0.2613811725768093,16,816.0
105.0,30,0,16,48,78,0,896.0,29.866666666666667,5.519408923579374,16,896.0,0.309815840545244,16,896.0
110.0,35,0,16,49,84,0,976.0,27.885714285714286,6.499232564178746,16,976.0,0.36891960931074846,16,976.0
115.0,33,2,16,53,86,0,1056.0,32.0,6.32312434044039,16,1056.0,0.3592908779551834,16,1056.0
120.0,33,0,18,55,88,0,1138.0,34.484848484848484,4.556924581501155,18,1138.0,0.17114976487672726,18,1138.0
125.0,33,2,20,59,92,0,1237.0,37.484848484848484,5.050406857784217,20,1237.0,0.24933355103409185,20,1237.0
130.0,34,0,20,60,94,0,1337.0,39.3235294117647,4.813113881298071,20,1337.0,0.20731810477833032,20,1337.0
135.0,34,2,20,64,98,0,1437.0,42.26470588235294,5.122012768090669,20,1437.0,0.22195459416902802,20,1437.0
140.0,34,0,20,66,100,0,1537.0,45.205882352941174,4.981410466700254,20,1537.0,0.21406973570327079,20,1537.0
145.0,37,2,21,69,106,0,1638.0,44.270270270270274,5.717945352815193,20,1637.0,0.314637051546883,20,1637.0
150.0,39,0,20,73,112,0,1737.0,44.53846153846154,5.649020245466791,20,1737.0,0.34493402344526725,20,1737.0
155.0,38,0,9,74,112,0,423.0,11.131578947368421,5.1100843448836555,8,1259.0,0.23522030103916142,8,1259.0
160.0,41,0,7,77,118,0,21.0,0.5121951219512195,6.558756615187542,6,625.0,0.33745827637373826,6,625.0
