step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,5,0,0,0,5,0,0.0,0.0,12.892259221659492,0,0.0,0.9745165104907711,0,0.0
10.0,10,0,0,0,10,0,0.0,0.0,12.47622215496582,0,0.0,0.9416899122909136,0,0.0
15.0,12,0,0,0,12,0,0.0,0.0,9.419061972859671,0,0.0,0.6657707500207466,0,0.0
20.0,13,0,0,0,13,0,0.0,0.0,5.52437176059738,0,2.0,0.32890936026115974,0,2.0
25.0,19,0,1,1,20,0,5.0,0.2631578947368421,10.555163789025167,1,5.0,0.7210848618878553,1,5.0
30.0,24,0,1,1,25,0,10.0,0.4166666666666667,12.006145011765682,1,10.0,0.8627333400910958,1,10.0
35.0,24,0,1,4,28,0,1.0,0.041666666666666664,10.160443401232918,1,1.0,0.7201989454048814,1,1.0
40.0,20,0,5,9,29,0,17.0,0.85,8.341462620600977,5,17.0,0.40539481878423295,5,17.0
45.0,21,0,7,13,34,0,52.0,2.4761904761904763,7.701409312976127,7,52.0,0.4437611215673497,7,52.0
50.0,20,0,9,16,36,0,91.0,4.55,6.385574527736134,9,91.0,0.37785201213518504,9,91.0
55.0,25,0,12,17,42,0,142.0,5.68,5.305775823374306,12,142.0,0.3214231690723056,12,142.0
60.0,25,0,9,20,45,0,75.0,3.0,5.218220787991182,9,156.0,0.35875639421380817,9,156.0
65.0,30,0,1,20,50,0,1.0,0.03333333333333333,7.6882163776075085,1,93.0,0.4662063787072043,1,93.0
70.0,34,0,2,21,55,0,5.0,0.14705882352941177,8.762086717287117,2,28.0,0.5045372438325206,2,28.0
75.0,34,0,4,25,59,0,20.0,0.5882352941176471,8.939412877041654,4,21.0,0.5277278961449436,4,21.0
80.0,32,0,1,29,61,0,1.0,0.03125,7.331022794094612,1,16.0,0.4200812713164484,1,16.0
85.0,30,0,7,34,64,0,21.0,0.7,6.872714458539148,7,22.0,0.3358225389472395,7,22.0
90.0,29,0,11,37,66,0,68.0,2.3448275862068964,6.270628477011635,11,69.0,0.17304427456103805,11,69.0
95.0,25,0,8,43,68,0,55.0,2.2,5.40686266667216,8,99.0,0.20291058127072933,8,99.0
100.0,24,0,0,49,73,0,0.0,0.0,7.453701526213333,0,74.0,0.4259849075975972,0,74.0
