step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,3,0,0,0,3,0,0.0,0.0,11.927573971431727,0,0.0,0.9559128012073829,0,0.0
10.0,10,0,0,0,10,0,0.0,0.0,12.880978562123554,0,0.0,0.9532955414567941,0,0.0
15.0,13,0,0,0,13,0,0.0,0.0,11.283436551203955,0,0.0,0.8369585550010623,0,0.0
20.0,21,0,0,0,21,0,0.0,0.0,9.741429494684795,0,0.0,0.6906561383987992,0,0.0
25.0,24,0,2,0,24,0,6.0,0.25,10.896142864674317,2,6.0,0.7288861555384805,2,6.0
30.0,27,0,4,1,28,0,19.0,0.7037037037037037,9.606963996127853,4,19.0,0.5274461371172401,4,19.0
35.0,25,0,1,5,30,0,3.0,0.12,8.504014349535815,1,20.0,0.505992218186893,1,20.0
40.0,24,0,4,9,33,0,16.0,0.6666666666666666,8.715667013383444,4,16.0,0.4677250669419108,4,16.0
45.0,23,0,6,14,37,0,46.0,2.0,9.137658522220134,6,46.0,0.5310739087729616,6,46.0
50.0,21,0,2,18,39,0,5.0,0.23809523809523808,7.130098019424655,2,43.0,0.3812090543055863,2,43.0
55.0,20,0,1,22,42,0,3.0,0.15,8.444323967564454,1,8.0,0.46001764409399715,1,8.0
60.0,24,0,1,23,47,0,8.0,0.3333333333333333,10.93520470439006,1,8.0,0.7042228130373386,1,8.0
65.0,22,0,1,27,49,0,13.0,0.5909090909090909,11.194236541290756,1,13.0,0.7540868502600149,1,13.0
70.0,20,0,0,31,51,0,0.0,0.0,9.177463093868365,0,0.0,0.5624255437185632,0,0.0
75.0,20,0,5,35,55,0,13.0,0.65,8.018418850649851,5,13.0,0.4154491423861074,5,13.0
80.0,18,0,8,39,57,0,50.0,2.7777777777777777,6.734908659174642,8,50.0,0.38512016310882313,8,50.0
85.0,21,0,10,42,63,0,96.0,4.571428571428571,5.46388803184892,10,96.0,0.36135922254185543,10,96.0
90.0,26,0,8,42,68,0,55.0,2.1153846153846154,5.536041262162992,8,114.0,0.37067442424831853,8,114.0
95.0,28,0,3,43,71,0,5.0,0.17857142857142858,6.146759520641642,3,79.0,0.3413298396519638,3,79.0
100.0,33,0,2,43,76,0,6.0,0.18181818181818182,8.276747603897967,2,30.0,0.4350462135520144,2,30.0
105.0,34,0,3,45,79,0,21.0,0.6176470588235294,9.373279447993777,3,25.0,0.5284637597730285,3,25.0
110.0,32,0,1,51,83,0,1.0,0.03125,8.802933920763897,1,14.0,0.5251962717555467,1,14.0
115.0,27,0,8,57,84,0,26.0,0.9629629629629629,6.9893294345701245,8,29.0,0.2635206566456003,8,29.0
120.0,26,0,13,61,87,0,80.0,3.076923076923077,5.63277266193802,13,83.0,0.2009097885924736,13,83.0
125.0,24,0,10,66,90,0,71.0,2.9583333333333335,4.845182056711876,10,119.0,0.27041483785690057,10,119.0
130.0,25,0,3,68,93,0,7.0,0.28,6.638783992988078,3,98.0,0.35727668442867805,3,98.0
135.0,27,0,2,68,95,0,6.0,0.2222222222222222,9.353346147918334,2,44.0,0.457154653466605,2,44.0
140.0,28,0,2,72,100,0,3.0,0.10714285714285714,8.51121274791603,2,41.0,0.5038739247303637,2,41.0
145.0,28,0,6,77,105,0,24.0,0.8571428571428571,7.588286424814066,6,62.0,0.415366538446626,6,62.0
150.0,28,0,11,80,108,0,71.0,2.5357142857142856,5.912587474317239,11,109.0,0.2724234246361715,11,109.0
155.0,28,0,11,84,112,0,59.0,2.107142857142857,4.102076927639451,11,125.0,0.23387781001259042,11,125.0
160.0,33,0,6,85,118,0,26.0,0.7878787878787878,6.437229551889862,6,103.0,0.3800834928726564,6,103.0
165.0,37,0,4,86,123,0,36.0,0.972972972972973,8.801637405529968,4,72.0,0.5096363796925989,4,72.0
170.0,38,0,2,90,128,0,2.0,0.05263157894736842,7.366763250378685,2,63.0,0.4416669083753912,2,63.0
175.0,36,0,8,95,131,0,33.0,0.9166666666666666,5.988681978676148,8,69.0,0.2903064611812948,8,69.0
180.0,35,0,14,98,133,0,90.0,2.5714285714285716,6.006949915697891,14,126.0,0.20121196339729933,14,126.0
185.0,35,0,13,102,137,0,85.0,2.4285714285714284,5.132656119089152,13,159.0,0.21951733563296166,13,159.0
190.0,31,0,9,107,138,0,45.0,1.4516129032258065,5.630992090756591,9,141.0,0.23412440407762858,9,141.0
195.0,34,0,3,110,144,0,33.0,0.9705882352941176,8.115438076165454,3,97.0,0.4286033080969929,3,97.0
200.0,33,0,2,114,147,0,2.0,0.06060606060606061,7.124935308985604,2,80.0,0.3988259839981184,2,80.0
205.0,32,0,7,118,150,0,25.0,0.78125,6.232722882377066,7,89.0,0.29973232538464967,7,89.0
210.0,34,0,13,122,156,0,78.0,2.2941176470588234,5.619898830177712,13,142.0,0.2918871566056289,13,142.0
215.0,35,0,20,126,161,0,164.0,4.685714285714286,4.422617403783004,20,228.0,0.23771391670522377,20,228.0
220.0,37,0,18,128,165,0,161.0,4.351351351351352,2.4835621507138868,18,272.0,0.1277110738475689,18,272.0
225.0,38,0,17,130,168,0,112.0,2.9473684210526314,3.968065731814096,17,268.0,0.18158039281824528,17,268.0
230.0,45,0,10,130,175,0,75.0,1.6666666666666667,5.8545443836416675,10,232.0,0.255546540385097,10,232.0
235.0,44,2,10,133,177,0,65.0,1.4772727272727273,6.767402590614487,10,218.0,0.32620354691219755,10,218.0
240.0,40,5,1,138,178,0,4.0,0.1,7.095301769110788,1,195.0,0.39302475930016995,1,195.0
245.0,37,4,7,145,182,0,20.0,0.5405405405405406,6.294090975401095,7,186.0,0.31377323689934733,7,186.0
250.0,39,1,13,148,187,0,69.0,1.7692307692307692,4.920361798662448,13,232.0,0.1770257293009425,13,232.0
255.0,42,0,13,152,194,0,74.0,1.7619047619047619,3.6048273948632223,13,254.0,0.1426345800411959,13,254.0
260.0,40,2,9,158,198,0,50.0,1.25,3.985544975835026,9,224.0,0.20891907048729647,9,224.0
265.0,43,3,7,158,201,0,21.0,0.4883720930232558,5.889186846684682,7,157.0,0.25959995411209985,7,157.0
270.0,41,5,7,161,202,0,19.0,0.4634146341463415,5.75529394908893,7,192.0,0.27900677887171554,7,192.0
275.0,36,8,8,166,202,0,27.0,0.75,5.287451421705948,8,221.0,0.24498361679691952,8,221.0
280.0,36,8,14,170,206,0,85.0,2.361111111111111,3.50295844498761,14,279.0,0.15516067682691564,14,279.0
285.0,36,6,15,174,210,0,92.0,2.5555555555555554,1.9857188696722947,15,302.0,0.07512843867555472,15,302.0
290.0,37,6,11,175,212,0,55.0,1.4864864864864864,3.3733203739327955,11,267.0,0.10259333057555606,11,267.0
295.0,40,9,10,176,216,0,42.0,1.05,5.525803952305378,10,207.0,0.21220893850632452,10,207.0
300.0,39,12,8,180,219,0,31.0,0.7948717948717948,5.829517709024707,8,250.0,0.31201774910025265,8,250.0
305.0,35,14,8,185,220,0,29.0,0.8285714285714286,5.011377414699908,8,281.0,0.29862639142721337,8,281.0
310.0,37,14,14,188,225,0,83.0,2.2432432432432434,3.947250475719138,14,335.0,0.22065487397049816,14,335.0
315.0,39,15,15,189,228,0,86.0,2.2051282051282053,2.545136474065331,15,356.0,0.11409562615256826,15,356.0
320.0,41,14,12,190,231,0,56.0,1.3658536585365855,3.5147897246237476,12,318.0,0.12005641920589055,12,318.0
325.0,42,14,12,192,234,0,56.0,1.3333333333333333,5.020697627283866,12,244.0,0.16086923773604675,12,244.0
330.0,40,17,5,195,235,0,17.0,0.425,5.612106043545859,5,262.0,0.2465032268362877,5,262.0
335.0,35,20,7,201,236,0,25.0,0.7142857142857143,5.472946434752444,7,282.0,0.2464741401065019,7,282.0
340.0,35,17,14,204,239,0,82.0,2.342857142857143,3.833572683953814,14,340.0,0.15233771041269664,14,340.0
345.0,36,13,20,208,244,0,168.0,4.666666666666667,1.856555382764395,20,426.0,0.07944182381560345,20,426.0
350.0,38,15,28,209,247,0,291.0,7.657894736842105,0.9095180965486298,28,549.0,0.03808765438578684,28,549.0
355.0,41,14,35,209,250,0,445.0,10.853658536585366,1.1303147397146764,35,706.0,0.049929809353999724,35,706.0
360.0,42,18,32,210,252,0,455.0,10.833333333333334,1.881588098247998,32,784.0,0.09509838753739852,32,784.0
365.0,42,20,22,210,252,0,339.0,8.071428571428571,3.617632852801153,22,711.0,0.12569270477312253,22,711.0
370.0,44,21,15,211,255,0,250.0,5.681818181818182,6.083834152509269,15,609.0,0.28305617470525457,15,609.0
375.0,41,25,6,214,255,0,88.0,2.1463414634146343,7.058017275987758,6,473.0,0.3338048183035375,6,473.0
380.0,36,29,1,219,255,0,1.0,0.027777777777777776,7.040960652832109,1,466.0,0.38670542011945247,1,466.0
385.0,35,26,8,224,259,0,26.0,0.7428571428571429,6.102583043028455,8,488.0,0.24441884604014796,8,488.0
390.0,34,25,13,229,263,0,79.0,2.323529411764706,4.293511568460831,13,541.0,0.15524216705631555,13,541.0
395.0,35,24,13,233,268,0,75.0,2.142857142857143,3.3973037068799554,13,530.0,0.18234962672094832,13,530.0
400.0,39,23,8,235,274,0,39.0,1.0,4.205456087961544,8,431.0,0.21361912640546618,8,431.0
405.0,44,22,8,235,279,0,23.0,0.5227272727272727,6.064298488789947,8,273.0,0.2614107693776505,8,273.0
410.0,40,23,7,239,279,0,22.0,0.55,6.834159678046521,7,197.0,0.3253142867185176,7,197.0
415.0,36,25,5,243,279,0,34.0,0.9444444444444444,7.74721857960717,5,99.0,0.4005749519086215,5,99.0
420.0,35,23,6,248,283,0,63.0,1.8,8.099220133331883,6,101.0,0.4405436863111594,6,101.0
425.0,34,22,6,252,286,0,93.0,2.735294117647059,8.954013862498398,6,110.0,0.47480472193086104,6,110.0
430.0,33,18,1,258,291,0,1.0,0.030303030303030304,7.514011167017801,1,84.0,0.3618508367285484,1,84.0
435.0,33,15,8,264,297,0,26.0,0.7878787878787878,6.750883634330496,8,43.0,0.3242041312474224,8,43.0
440.0,32,13,13,268,300,0,80.0,2.5,4.748496011898601,13,97.0,0.20311988265594894,13,97.0
445.0,33,11,19,272,305,0,159.0,4.818181818181818,2.690306565771528,19,176.0,0.1153683125694505,19,176.0
450.0,36,9,19,274,310,0,158.0,4.388888888888889,1.6225909028919339,19,236.0,0.07795902338160594,19,236.0
455.0,37,9,14,275,312,0,100.0,2.7027027027027026,2.6778455449826977,14,239.0,0.07851554462173184,14,239.0
460.0,39,12,11,275,314,0,66.0,1.6923076923076923,5.446294228019896,11,214.0,0.16650612343067633,11,214.0
465.0,37,14,6,278,315,0,42.0,1.135135135135135,7.635687865268265,6,199.0,0.33295700487821644,6,199.0
470.0,32,17,1,284,316,0,1.0,0.03125,9.428325429086966,1,149.0,0.5380830925630044,1,149.0
475.0,31,17,1,288,319,0,6.0,0.1935483870967742,10.229699438019122,1,92.0,0.6167539621907371,1,92.0
480.0,30,16,2,294,324,0,2.0,0.06666666666666667,8.270586991666233,2,88.0,0.4979108125142319,2,88.0
485.0,28,14,8,300,328,0,26.0,0.9285714285714286,6.116881083790438,8,112.0,0.30434409736031776,8,112.0
490.0,31,13,12,304,335,0,77.0,2.4838709677419355,4.173273201293045,12,163.0,0.2530001148496346,12,163.0
495.0,33,13,12,306,339,0,74.0,2.242424242424242,2.685626807354434,12,186.0,0.17944402845019158,12,186.0
500.0,38,12,8,306,344,0,33.0,0.868421052631579,3.8670453816997648,8,156.0,0.18842838301580628,8,156.0
505.0,43,12,9,306,349,0,26.0,0.6046511627906976,5.488861272034483,9,105.0,0.23750537246188094,9,105.0
510.0,42,11,3,308,350,0,19.0,0.4523809523809524,6.7746274276827565,3,101.0,0.34388468690554247,3,101.0
515.0,37,12,0,313,350,0,0.0,0.0,6.801588440447372,0,73.0,0.36537792045387424,0,73.0
520.0,36,11,5,318,354,0,18.0,0.5,6.7476308292711105,5,90.0,0.29971427078198093,5,90.0
525.0,34,8,12,324,358,0,65.0,1.911764705882353,4.457431311265234,12,137.0,0.19120541817629458,12,137.0
530.0,38,4,12,327,365,0,66.0,1.736842105263158,3.3056266298623513,12,169.0,0.17951028527448412,12,169.0
535.0,42,3,9,330,372,0,34.0,0.8095238095238095,4.2875326360779455,9,155.0,0.234987109629882,9,155.0
540.0,45,4,7,330,375,0,26.0,0.5777777777777777,6.425880859873962,7,117.0,0.3176859664075369,7,117.0
545.0,42,5,8,334,376,0,28.0,0.6666666666666666,6.899568134840035,8,92.0,0.3130530493075378,8,92.0
550.0,37,7,6,339,376,0,44.0,1.1891891891891893,7.7480066940596775,6,94.0,0.3729315130479857,6,94.0
555.0,37,6,8,344,381,0,82.0,2.2162162162162162,8.564597812771087,8,110.0,0.45411267727580024,8,110.0
560.0,35,7,4,350,385,0,20.0,0.5714285714285714,7.895148111764398,4,92.0,0.43271132227815484,4,92.0
565.0,34,5,6,355,389,0,21.0,0.6176470588235294,7.466528801626147,6,59.0,0.37365864297900414,6,59.0
570.0,35,1,11,360,395,0,65.0,1.8571428571428572,5.326756421611809,11,85.0,0.2538031984018912,11,85.0
575.0,36,0,17,363,399,0,136.0,3.7777777777777777,3.6907421276193912,17,157.0,0.1695437840200093,17,157.0
580.0,37,0,19,368,405,0,129.0,3.4864864864864864,3.207660147325919,19,209.0,0.20185245887513434,19,209.0
585.0,42,0,15,369,411,0,85.0,2.0238095238095237,4.417830630304441,15,217.0,0.22386773137424665,15,217.0
