step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode
5.0,6,0,0,0,6,0,0.0,0.0,13.685210105100344,0,0.0,0.9704443298896958,0,0.0,1
10.0,12,0,0,0,12,0,0.0,0.0,13.28207846025622,0,0.0,0.9238741317534934,0,0.0,1
15.0,15,0,1,0,15,0,3.0,0.2,10.5295078252529,1,3.0,0.693848950112936,1,3.0,1
20.0,19,0,0,0,19,0,0.0,0.0,7.683284576065677,0,1.0,0.5034998864249788,0,1.0,1
25.0,23,0,4,0,23,0,12.0,0.5217391304347826,9.182239858690176,4,12.0,0.5658011470172711,4,12.0,1
30.0,24,0,4,2,26,0,32.0,1.3333333333333333,10.79936439373394,4,32.0,0.6182520761095945,4,32.0,1
35.0,22,0,4,6,28,0,52.0,2.363636363636364,9.986161783944556,4,52.0,0.5097599243221842,4,52.0,1
40.0,23,0,0,11,34,0,0.0,0.0,9.352699157023752,0,33.0,0.6234291607661692,0,33.0,1
45.0,23,0,3,16,39,0,8.0,0.3478260869565217,10.079539178420957,3,8.0,0.6756339048883074,3,8.0,1
50.0,24,0,6,18,42,0,29.0,1.2083333333333333,8.004316339586953,6,29.0,0.4451379152979076,6,29.0,1
55.0,22,0,4,23,45,0,10.0,0.4545454545454545,5.865669608567183,4,35.0,0.3525820212634676,4,35.0,1
60.0,22,0,1,24,46,0,3.0,0.1363636363636363,6.993549694067801,1,21.0,0.3382865222954972,1,21.0,1
65.0,25,0,2,25,50,0,11.0,0.44,9.466052717721988,2,16.0,0.5108840828295007,2,16.0,1
70.0,23,0,2,29,52,0,21.0,0.9130434782608696,10.634552283622924,2,21.0,0.6590234506075295,2,21.0,1
75.0,23,0,2,33,56,0,31.0,1.3478260869565215,11.408074654499837,2,31.0,0.7516229412805967,2,31.0,1
80.0,20,0,1,39,59,0,1.0,0.05,10.40712729850975,1,1.0,0.6929179661311061,1,1.0,1
85.0,19,0,2,44,63,0,10.0,0.5263157894736842,10.858471061583217,2,10.0,0.7017630581934658,2,10.0,1
90.0,22,0,4,47,69,0,25.0,1.1363636363636365,9.41900709537142,4,25.0,0.6433628636172912,4,25.0,1
95.0,21,0,7,51,72,0,51.0,2.4285714285714284,7.093426886011666,7,51.0,0.4382548897542727,7,51.0,1
100.0,20,0,4,53,73,0,17.0,0.85,5.563389353932918,4,51.0,0.3572486109621138,4,51.0,1
