step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode,global_step
5.0,2,0,0,0,2,0,0.0,0.0,12.988847882249468,0,0.0,0.9427604510035988,0,0.0,1,256.0
10.0,5,0,0,0,5,0,0.0,0.0,13.254894448735678,0,0.0,0.9402889953083716,0,0.0,1,261.0
15.0,11,0,0,0,11,0,0.0,0.0,13.116767898099573,0,0.0,0.9474238562864462,0,0.0,1,266.0
20.0,14,0,0,0,14,0,0.0,0.0,11.476039493230262,0,0.0,0.8308388048295693,0,0.0,1,271.0
25.0,16,0,4,0,16,0,11.0,0.6875,8.433391614110462,4,11.0,0.5113911202778064,4,11.0,1,276.0
30.0,18,0,1,2,20,0,2.0,0.1111111111111111,7.89970669395983,1,14.0,0.5144176344747817,1,14.0,1,281.0
35.0,21,0,1,4,25,0,5.0,0.238095238095238,10.56789523331422,1,7.0,0.6929574168397187,1,7.0,1,286.0
40.0,23,0,2,5,28,0,13.0,0.5652173913043478,11.442447515908272,2,13.0,0.7542574051393752,2,13.0,1,291.0
45.0,23,0,2,9,32,0,3.0,0.1304347826086956,9.38181764050376,2,3.0,0.6303811679018094,2,3.0,1,296.0
50.0,20,0,5,14,34,0,22.0,1.1,7.838848280287128,5,22.0,0.4056868466814886,5,22.0,1,301.0
55.0,20,0,8,17,37,0,57.0,2.85,6.732878647065749,8,57.0,0.3344901121262931,8,57.0,1,306.0
60.0,20,0,4,21,41,0,24.0,1.2,5.789810682860503,4,66.0,0.3884703290891113,4,66.0,1,311.0
65.0,24,0,1,22,46,0,4.0,0.1666666666666666,9.376435722523013,1,35.0,0.6240999581910056,1,35.0,1,316.0
70.0,27,0,2,22,49,0,14.0,0.5185185185185185,10.496785930111246,2,17.0,0.679929612946981,2,17.0,1,321.0
75.0,28,0,5,25,53,0,30.0,1.0714285714285714,9.319422893156451,5,30.0,0.5533700877152132,5,30.0,1,326.0
80.0,27,0,0,30,57,0,0.0,0.0,9.12914018641208,0,20.0,0.6496106562523231,0,20.0,1,331.0
85.0,25,0,3,35,60,0,5.0,0.2,9.764756299684082,3,5.0,0.6561598120053062,3,5.0,1,336.0
90.0,23,0,6,39,62,0,29.0,1.2608695652173914,7.622502955112003,6,29.0,0.3471789522091176,6,29.0,1,341.0
95.0,24,0,10,43,67,0,69.0,2.875,5.899917493125197,10,69.0,0.3355793588039928,10,69.0,1,346.0
100.0,24,0,7,47,71,0,38.0,1.5833333333333333,4.928281185385026,7,87.0,0.3301544139814937,7,87.0,1,351.0
105.0,25,0,2,47,72,0,6.0,0.24,6.111527001940525,2,58.0,0.3334922351232712,2,58.0,1,356.0
110.0,25,0,2,48,73,0,11.0,0.44,8.209067973279565,2,24.0,0.414065928830067,2,24.0,1,361.0
115.0,27,0,1,51,78,0,2.0,0.074074074074074,8.072253859754134,1,17.0,0.4974691321875516,1,17.0,1,366.0
120.0,25,0,8,55,80,0,30.0,1.2,7.351961680891215,8,43.0,0.3323556582194849,8,43.0,1,371.0
125.0,23,0,11,60,83,0,79.0,3.4347826086956523,5.87562586396741,11,92.0,0.2426120804498791,11,92.0,1,376.0
130.0,24,0,7,64,88,0,57.0,2.375,5.66939679061823,7,113.0,0.3778588442396793,7,113.0,1,381.0
135.0,26,0,1,66,92,0,1.0,0.0384615384615384,8.499151246730655,1,63.0,0.5462626331161655,1,63.0,1,386.0
140.0,29,0,0,66,95,0,0.0,0.0,9.80221787198694,0,16.0,0.553774142313382,0,16.0,1,391.0
145.0,27,0,4,71,98,0,13.0,0.4814814814814814,9.483635964480838,4,13.0,0.5421175925061295,4,13.0,1,396.0
150.0,25,0,1,76,101,0,1.0,0.04,7.846716826313834,1,14.0,0.4431741648341126,1,14.0,1,401.0
155.0,28,0,6,78,106,0,25.0,0.8928571428571429,7.920130468051966,6,25.0,0.4380315002176687,6,25.0,1,406.0
160.0,23,0,10,83,106,0,70.0,3.0434782608695654,6.457596282486919,10,70.0,0.2659904399421585,10,70.0,1,411.0
165.0,23,0,13,87,110,0,128.0,5.565217391304348,5.626917374441168,13,128.0,0.2314449353616837,13,128.0,1,416.0
170.0,23,0,7,91,114,0,78.0,3.391304347826087,5.9368675056091975,7,146.0,0.3661233190048386,7,146.0,1,421.0
175.0,26,0,0,92,118,0,0.0,0.0,7.925246531900819,0,93.0,0.4983128355746311,0,93.0,1,426.0
180.0,28,0,2,93,121,0,4.0,0.1428571428571428,9.072488517068455,2,19.0,0.5248723306895211,2,19.0,1,431.0
185.0,29,0,3,96,125,0,18.0,0.6206896551724138,9.93608335020047,3,18.0,0.6024591174658951,3,18.0,1,436.0
190.0,26,0,1,101,127,0,1.0,0.0384615384615384,8.760362869034264,1,14.0,0.4778082432540501,1,14.0,1,441.0
195.0,21,0,4,107,128,0,17.0,0.8095238095238095,9.096767086251877,4,17.0,0.430296985634462,4,17.0,1,446.0
200.0,18,0,6,111,129,0,43.0,2.388888888888889,8.684282802421395,6,43.0,0.2296623012606005,6,43.0,1,451.0
205.0,16,0,6,115,131,0,73.0,4.5625,6.748841378327448,6,73.0,0.2261840519020108,6,73.0,1,456.0
210.0,14,0,2,120,134,0,9.0,0.6428571428571429,6.577405761427245,2,65.0,0.4301210501728695,2,65.0,1,461.0
215.0,17,0,0,121,138,0,0.0,0.0,10.897814564331956,0,9.0,0.7113751817152095,0,9.0,1,466.0
220.0,22,0,0,121,143,0,0.0,0.0,13.114793122370394,0,0.0,0.9357873309194328,0,0.0,1,471.0
225.0,22,0,2,125,147,0,3.0,0.1363636363636363,11.074241899633234,2,3.0,0.7110382043607132,2,3.0,1,476.0
230.0,20,0,3,130,150,0,17.0,0.85,9.23147639443425,3,17.0,0.5088627244373042,3,17.0,1,481.0
235.0,23,0,8,134,157,0,46.0,2.0,7.912942256506539,8,46.0,0.4757813206465291,8,46.0,1,486.0
240.0,22,0,10,138,160,0,92.0,4.181818181818182,5.783138986060489,10,92.0,0.3817211790809448,10,92.0,1,491.0
245.0,28,0,14,138,166,0,154.0,5.5,5.721450554640616,14,154.0,0.315407468985765,14,154.0,1,496.0
250.0,32,0,18,138,170,0,237.0,7.40625,4.523725049094157,18,237.0,0.2105958541506891,18,237.0,1,501.0
5.0,3,0,0,0,3,0,0.0,0.0,13.129912865731445,0,0.0,0.9398684888553192,0,0.0,10,2515.0
10.0,6,0,0,0,6,0,0.0,0.0,13.110532289100007,0,0.0,0.968638686942289,0,0.0,10,2520.0
15.0,9,0,1,0,9,0,1.0,0.1111111111111111,11.139446219903029,1,1.0,0.7873177409262972,1,1.0,10,2525.0
20.0,13,0,0,0,13,0,0.0,0.0,10.247403123658913,0,0.0,0.7954800757329179,0,0.0,10,2530.0
25.0,16,0,2,1,17,0,3.0,0.1875,11.39654279785147,2,3.0,0.7636053160091474,2,3.0,10,2535.0
30.0,17,0,2,1,18,0,13.0,0.7647058823529411,10.7792112006777,2,13.0,0.6469933853369835,2,13.0,10,2540.0
35.0,15,0,0,5,20,0,0.0,0.0,8.654059831534026,0,0.0,0.5147278808425718,0,0.0,10,2545.0
40.0,17,0,3,7,24,0,9.0,0.5294117647058824,10.04105081196416,3,9.0,0.6469979939211312,3,9.0,10,2550.0
45.0,20,0,3,10,30,0,24.0,1.2,9.8079443496435,3,24.0,0.6698355013790501,3,24.0,10,2555.0
50.0,19,0,0,14,33,0,0.0,0.0,8.361676438474069,0,13.0,0.6233519465194624,0,13.0,10,2560.0
55.0,22,0,2,15,37,0,7.0,0.3181818181818182,8.840715157358183,2,7.0,0.5669733667176812,2,7.0,10,2565.0
60.0,25,0,4,15,40,0,23.0,0.92,10.473439358408443,4,23.0,0.5977747186272252,4,23.0,10,2570.0
65.0,27,0,2,19,46,0,5.0,0.1851851851851851,9.32109366175772,2,17.0,0.6272202178176726,2,17.0,10,2575.0
70.0,25,0,5,23,48,0,23.0,0.92,8.56543316910351,5,23.0,0.4759326042946895,5,23.0,10,2580.0
75.0,23,0,8,27,50,0,58.0,2.5217391304347827,6.459917223064603,8,58.0,0.2773428278076192,8,58.0,10,2585.0
80.0,24,0,8,29,53,0,32.0,1.3333333333333333,4.916237368727942,8,74.0,0.2219522094555227,8,74.0,10,2590.0
