run,agent,episode_return,discounted_return,mean_return,R_bar,theta_norm,theta_change,theta_update_norm
1,t,-52985.0,-18363.830078125,-17402.404296875,-1740.2404296875002,0.11264589443619229,0.11237577737625865,0.11237577737625865
2,t,-161178.0,-51173.25390625,-55258.23828125,-7092.040214843751,0.2363882416839535,0.14449619851490883,0.14449619851490883
3,t,-271185.0,-87800.0859375,-92131.4609375,-15595.982287109375,0.2294140773593512,0.19019695626918584,0.19019695626918584
4,t,-45810.0,-16599.724609375,-14688.13671875,-15505.197730273438,0.524652622102609,0.4565568401465754,0.4565568401465754
5,t,-745726.0,-165661.125,-290860.75,-43040.75295724609,0.5066556997147995,0.24936081474661703,0.24936081474661703
6,t,-8778.0,-3544.034423828125,-2634.703125,-39000.147974021485,0.8194049820177702,0.5056115299848485,0.5056115299848485
7,t,-3209862.0,-888103.75,-1165319.625,-151632.09567661936,0.833608439943421,0.016665174693663815,0.016665174693663815
8,t,-3067867.0,-834853.0625,-1120681.25,-248537.01110895743,0.8487180117205905,0.01705747364501844,0.01705747364501844
9,t,-2876038.0,-762552.9375,-1060555.25,-329738.8349980617,0.8319632735146737,0.025419993210956348,0.025419993210956348
10,t,-3062081.0,-833235.375,-1118589.0,-408623.85149825556,0.8408768150530207,0.016793208741684093,0.016793208741684093
11,t,-3166802.0,-872386.9375,-1151569.5,-482918.41634843004,0.8347910077334495,0.010254159594703348,0.010254159594703348
12,t,-2961735.0,-797470.0625,-1086119.875,-543238.5622135871,0.8526647939325008,0.02303474846305882,0.02303474846305882
13,t,-3060254.0,-831921.3125,-1118326.0,-600747.3059922284,0.848944522332058,0.01413961829557002,0.01413961829557002
14,t,-2768422.0,-728051.0625,-1023825.75,-643055.1503930057,0.8700400091035386,0.024204664223796923,0.024204664223796923
15,t,-2760764.0,-722039.1875,-1022972.625,-681046.8978537051,0.8522840972166209,0.023593238513285906,0.023593238513285906
16,t,-2459537.0,-699966.125,-883285.25,-701270.7330683346,0.8279415634932202,0.05373190819071194,0.05373190819071194
17,t,-3138868.0,-861018.0,-1143230.125,-745466.6722615012,0.8415038149997957,0.015012996815560745,0.015012996815560745
18,t,-2588929.0,-663460.375,-966051.625,-767525.1675353511,0.8029331907204701,0.04930501589407942,0.04930501589407942
19,t,-2981978.0,-803424.4375,-1093293.875,-800102.038281816,0.8238349353755131,0.02422455655887691,0.02422455655887691
20,t,-2821329.0,-747297.25,-1040752.375,-824167.0719536345,0.8220381665891531,0.03330297069991322,0.03330297069991322
21,t,-2985225.0,-804453.5625,-1094408.0,-851191.1647582711,0.8292465193473028,0.021329429576225786,0.021329429576225786
22,t,-3121390.0,-855016.625,-1137461.75,-879818.223282444,0.8411262619048615,0.019561563856827408,0.019561563856827408
23,t,-3059290.0,-830890.4375,-1118354.25,-903671.8259541998,0.8416449265917847,0.016608379500705192,0.016608379500705192
24,t,-1983570.0,-466876.125,-760681.25,-889372.7683587798,0.8226207306049337,0.07245408052520239,0.07245408052520239
25,t,-1754373.0,-397788.125,-680281.375,-868463.6290229019,0.7827185671559074,0.13010380609080158,0.13010380609080158
26,t,-1372343.0,-442074.8125,-467344.46875,-828351.7129956117,0.7794193313450587,0.032333435157904516,0.032333435157904516
27,t,-1714681.0,-539948.4375,-590066.0625,-804523.1479460505,0.7858150191425562,0.23098154715919125,0.23098154715919125
28,t,-14630.0,-5620.001953125,-4533.09912109375,-724524.1430635549,0.7905949988884549,0.07141669107241244,0.07141669107241244
29,t,-13293.0,-5620.37451171875,-3864.414794921875,-652458.1702366916,0.7803587748954611,0.20591354017347457,0.20591354017347457
30,t,-6741.0,-2937.236572265625,-1916.5679931640625,-587404.0100123389,0.8540175377610745,0.15882636786845614,0.15882636786845614
31,t,-5170.0,-2140.1552734375,-1525.6231689453125,-528816.1713279996,0.9330082134016813,0.10324037481382599,0.10324037481382599
32,t,-8819.0,-4054.652099609375,-2402.447265625,-476174.79892176215,0.9827132046132144,0.10528809339078776,0.10528809339078776
33,t,-5964.0,-2750.220947265625,-1620.640625,-428719.38309208595,0.9933944634828322,0.11924266875573104,0.11924266875573104
34,t,-6314.0,-2515.68212890625,-1911.737548828125,-386038.61853776017,0.951508291667918,0.1083158981300396,0.1083158981300396
35,t,-6357.0,-2556.5419921875,-1913.01171875,-347626.0578558591,0.8874553961042103,0.13339872012881926,0.13339872012881926
36,t,-8237.0,-3085.971435546875,-2590.944091796875,-313122.5464794529,0.9613401819072542,0.15306741673541144,0.15306741673541144
37,t,-9485.0,-3921.797607421875,-2801.210205078125,-282090.41285201546,1.0270875315815997,0.2300341262592391,0.2300341262592391
38,t,-6414.0,-2666.88134765625,-1886.893798828125,-254070.06094669676,1.0822418728946916,0.1039644024022312,0.1039644024022312
39,t,-8915.0,-3066.423828125,-2939.620361328125,-228957.0168881599,1.099772732227916,0.10022049219961958,0.10022049219961958
40,t,-8201.0,-3181.941162109375,-2525.43896484375,-206313.8590958283,1.1095590812222718,0.16962303797634107,0.16962303797634107
41,t,-16417.0,-6329.69384765625,-5075.3017578125,-186190.0033620267,1.1214382816898651,0.3088591930865552,0.3088591930865552
42,t,-7234.0,-3054.695068359375,-2104.926025390625,-167781.4956283631,1.1226447880592219,0.2527754964120744,0.2527754964120744
43,t,-6927.0,-2908.6748046875,-2023.7059326171875,-151205.71665878853,1.2068514698511614,0.23425965379829894,0.23425965379829894
44,t,-9121.0,-3161.102294921875,-2995.75439453125,-136384.7204323628,1.3221675659610204,0.40900132503958136,0.40900132503958136
45,t,-17088.0,-6309.3564453125,-5420.86865234375,-123288.3352543609,1.3449005529482816,0.05190620283637391,0.05190620283637391
46,t,-20171.0,-8406.0478515625,-5924.50634765625,-111551.95236369045,1.3415345702833879,0.11616127119677953,0.11616127119677953
47,t,-11202.0,-4388.333984375,-3428.7744140625,-100739.63456872766,1.3096456048123004,0.06396202727714859,0.06396202727714859
48,t,-13158.0,-5571.1494140625,-3821.281005859375,-91047.79921244083,1.3323030393159752,0.06031984924050407,0.06031984924050407
49,t,-16176.0,-6288.47412109375,-4975.205078125,-82440.53979900925,1.3622989970826995,0.09984477599743596,0.09984477599743596
50,t,-13599.0,-5167.21630859375,-4241.72802734375,-74620.6586218427,1.3926298892836,0.05022253534815722,0.05022253534815722
