step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode
5.0,12,0,0,0,12,0,0.0,0.0,5.992526861101699,0,0.0,0.4397022484600877,0,0.0,0
10.0,14,0,0,0,14,0,0.0,0.0,11.3496505030959,0,0.0,0.8300394493682688,0,0.0,0
15.0,18,2,0,0,18,0,0.0,0.0,8.35063499639093,0,0.0,0.5805724246686285,0,0.0,0
20.0,24,0,5,0,24,0,14.0,0.5833333333333334,5.6018962294253845,5,14.0,0.3608088017695145,5,14.0,0
25.0,28,2,12,0,28,0,50.0,1.7857142857142858,6.727039444521573,12,50.0,0.3816703410007255,12,50.0,0
30.0,28,0,10,2,30,0,95.0,3.392857142857143,6.904371991557376,10,95.0,0.3582635983268891,10,95.0,0
35.0,26,0,12,6,32,0,119.0,4.576923076923077,5.947246314529478,12,119.0,0.3420821720686363,12,119.0,0
40.0,37,0,18,7,44,0,181.0,4.891891891891892,4.245394681105231,18,181.0,0.2175398952365922,18,181.0,0
45.0,36,0,19,10,46,0,260.0,7.222222222222222,5.341171639157977,19,260.0,0.3377899004051755,19,260.0,0
50.0,38,2,16,12,50,0,193.0,5.078947368421052,3.464367834898736,16,288.0,0.2393008523214596,16,288.0,0
55.0,44,0,19,12,56,0,186.0,4.227272727272728,3.7680988084874327,19,267.0,0.1867414364250331,19,267.0,0
60.0,44,0,18,12,56,0,276.0,6.2727272727272725,6.392403590322062,18,285.0,0.3072408350868941,18,285.0,0
65.0,46,0,17,16,62,0,190.0,4.130434782608695,4.401400131703419,17,282.0,0.2100037748303699,17,282.0,0
70.0,44,0,24,20,64,0,298.0,6.7727272727272725,4.592563425482468,24,307.0,0.2133445313242055,24,307.0,0
75.0,48,4,26,24,72,0,420.0,8.75,3.5350745487478754,26,429.0,0.109408681157097,26,429.0,0
80.0,49,1,28,28,77,0,462.0,9.428571428571429,4.320260306311624,28,517.0,0.2385866918083978,28,517.0,0
85.0,50,2,33,32,82,0,603.0,12.06,3.162700441683189,33,612.0,0.142280245533822,33,612.0,0
90.0,52,0,34,32,84,0,766.0,14.73076923076923,3.314684887638513,34,775.0,0.1213790867481535,34,775.0,0
95.0,52,0,36,36,88,0,940.0,18.07692307692308,2.31894055291605,36,949.0,0.0879709913231509,36,949.0,0
100.0,55,0,44,39,94,0,1136.0,20.654545454545456,1.6875752927381422,44,1145.0,0.0805886593702187,44,1145.0,0
105.0,56,0,44,40,96,0,1353.0,24.160714285714285,1.707069993115084,44,1362.0,0.080677797367737,44,1362.0,0
110.0,62,4,44,42,104,0,1324.0,21.35483870967742,1.3076045726096628,44,1495.0,0.0539463251418964,44,1495.0,0
115.0,67,1,37,42,109,0,1208.0,18.029850746268657,3.428317957263483,37,1479.0,0.150845170845449,37,1479.0,0
120.0,66,0,32,44,110,0,1274.0,19.303030303030305,4.544666225633647,32,1469.0,0.199813964358695,32,1469.0,0
125.0,69,0,34,47,116,0,1436.0,20.81159420289855,3.611064538919816,34,1631.0,0.1346693839601828,34,1631.0,0
130.0,68,0,45,52,120,0,1639.0,24.102941176470587,2.186230714102002,45,1834.0,0.0585211487296992,45,1834.0,0
135.0,65,2,54,59,124,0,1891.0,29.09230769230769,1.1075113700888553,54,2086.0,0.0642911136561429,54,2086.0,0
140.0,66,2,60,60,126,0,2178.0,33.0,0.5521478705195052,60,2373.0,0.04124256116626,60,2373.0,0
145.0,72,8,64,60,132,0,2367.0,32.875,0.618775154786624,64,2578.0,0.0325494760177145,64,2578.0,0
150.0,74,6,49,60,134,0,2476.0,33.45945945945946,2.3676405838860126,49,2663.0,0.1030228011309181,49,2663.0,0
155.0,76,6,42,60,136,0,2623.0,34.51315789473684,4.014663353427572,42,2756.0,0.1682100828398183,42,2756.0,0
160.0,74,10,42,64,138,0,2833.0,38.28378378378378,3.717346040799616,42,2894.0,0.1373952473198823,42,2894.0,0
165.0,72,11,46,69,141,0,3054.0,42.41666666666666,2.903713280188212,46,3102.0,0.105469745108162,46,3102.0,0
170.0,69,15,51,74,143,0,3297.0,47.78260869565217,2.2737098563360543,51,3345.0,0.0587234173950725,51,3345.0,0
175.0,68,14,58,78,146,0,3566.0,52.44117647058823,1.3121066949015396,58,3614.0,0.0355643155582522,58,3614.0,0
