run,agent,episode_return,discounted_return,mean_return,R_bar,theta_norm,theta_change,theta_update_norm
1,t,-1088589.0,-401483.28125,-345560.25,-34556.025,0.09340124358782004,0.04303564789674602,0.04303564789674602
2,t,-807747.0,-222199.125,-293884.90625,-60488.91312500001,0.14454995503476376,0.10316014943666584,0.10316014943666584
3,t,-2516888.0,-725681.625,-899231.625,-144363.1843125,0.18393712391676467,0.0795989526177477,0.0795989526177477
4,t,-3186251.0,-910624.9375,-1142366.125,-244163.47838125,0.18305067314564819,0.04811428898861587,0.04811428898861587
5,t,-2987938.0,-800765.1875,-1097590.25,-329506.155543125,0.19521629980808844,0.06733220762903089,0.06733220762903089
6,t,-4211048.0,-1158314.25,-1532158.375,-449771.37748881255,0.3113984899268549,0.2986270351217277,0.2986270351217277
7,t,-6792764.0,-1918311.875,-2446817.5,-649475.9897399313,0.319480890213314,0.027761097040382023,0.027761097040382023
8,t,-7958910.0,-2108073.0,-2935959.0,-878124.2907659382,0.3107029154547826,0.0234182209870505,0.0234182209870505
9,t,-8161517.0,-2261683.0,-2961225.5,-1086434.4116893443,0.30936845593068646,0.013995837912230132,0.013995837912230132
10,t,-7879028.0,-2144446.25,-2878012.75,-1265592.24552041,0.2997992149504828,0.03554479579533444,0.03554479579533444
