step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,12,0,0,0,12,0,0.0,0.0,6.252479084340545,0,0.0,0.4730602088816323,0,0.0
10.0,14,0,0,0,14,0,0.0,0.0,11.880091194021025,0,0.0,0.8740920302733264,0,0.0
15.0,18,2,0,0,18,0,0.0,0.0,8.065074727021145,0,0.0,0.5776593152404977,0,0.0
20.0,24,0,7,0,24,0,19.0,0.7916666666666666,5.005082209713858,7,19.0,0.31760599563383285,7,19.0
25.0,28,2,15,0,28,0,71.0,2.5357142857142856,4.890672631778259,15,71.0,0.28457855081113237,15,71.0
30.0,28,0,15,2,30,0,137.0,4.892857142857143,3.7035881709585183,15,137.0,0.24094277400266748,15,137.0
35.0,29,0,14,3,32,0,143.0,4.931034482758621,3.774958852048981,14,181.0,0.26291358597447223,14,181.0
40.0,41,0,18,3,44,0,205.0,5.0,4.485158204360584,18,205.0,0.1970047623032973,18,205.0
45.0,43,0,17,3,46,0,288.0,6.6976744186046515,7.263673931562973,17,288.0,0.3803231709160127,17,288.0
50.0,43,2,18,7,50,0,374.0,8.69767441860465,5.202820880384876,18,374.0,0.223380550904684,18,374.0
55.0,43,0,29,13,56,0,489.0,11.372093023255815,3.207968348396183,29,489.0,0.16931075989929187,29,489.0
60.0,41,0,27,15,56,0,624.0,15.21951219512195,3.3028537961132023,27,624.0,0.16707949793290386,27,624.0
65.0,45,0,31,17,62,0,773.0,17.177777777777777,3.2130723256425915,31,773.0,0.15805315971419773,31,773.0
70.0,45,0,33,19,64,0,930.0,20.666666666666668,2.546046757438815,33,930.0,0.11526716170734615,33,930.0
75.0,51,4,31,21,72,0,874.0,17.137254901960784,2.233121975493124,31,989.0,0.12087135655118389,31,989.0
80.0,57,0,32,21,78,0,1011.0,17.736842105263158,4.142866343355682,32,1031.0,0.21704106192703373,32,1031.0
85.0,59,2,40,23,82,0,1183.0,20.050847457627118,3.4359149277504626,40,1183.0,0.16414731889264916,40,1183.0
90.0,58,0,37,26,84,0,1336.0,23.03448275862069,2.4208590488313226,37,1348.0,0.10326440168244404,37,1348.0
95.0,58,0,41,30,88,0,1534.0,26.448275862068964,2.6283119641234842,41,1534.0,0.09859890263412922,41,1534.0
100.0,63,0,45,31,94,0,1749.0,27.761904761904763,3.193434255266198,45,1749.0,0.10356782598756928,45,1749.0
105.0,61,0,45,35,96,0,1966.0,32.22950819672131,2.255195097456152,45,1966.0,0.047281369859141394,45,1966.0
110.0,63,5,50,40,103,0,2211.0,35.095238095238095,1.6492688911331503,50,2211.0,0.06030523805621,50,2211.0
115.0,66,2,53,42,108,0,2464.0,37.333333333333336,2.239291088568347,53,2464.0,0.12382286801691633,53,2464.0
120.0,64,2,51,44,108,0,2719.0,42.484375,2.433467696552652,51,2719.0,0.14251422006695993,51,2719.0
125.0,66,6,55,44,110,0,2978.0,45.121212121212125,1.7891886307047102,55,2978.0,0.06462939310704158,55,2978.0
130.0,67,7,51,46,113,0,2790.0,41.64179104477612,1.715613460239552,51,3063.0,0.07343203459093767,51,3063.0
135.0,67,10,47,49,116,0,2878.0,42.95522388059702,2.359040178275384,47,3029.0,0.10300022642544002,47,3029.0
140.0,68,11,49,49,117,0,3122.0,45.911764705882355,2.9500799050935833,49,3122.0,0.07158450422305354,49,3122.0
145.0,69,18,50,53,122,0,3321.0,48.130434782608695,2.215872304835922,50,3342.0,0.06088326885571167,50,3342.0
150.0,70,14,47,56,126,0,3553.0,50.75714285714286,3.1636672566915576,47,3553.0,0.128433879465583,47,3553.0
155.0,68,14,47,60,128,0,3788.0,55.705882352941174,3.658033991734896,47,3788.0,0.15087996995646696,47,3788.0
160.0,65,18,49,65,130,0,4026.0,61.93846153846154,2.222067996681808,49,4026.0,0.07951328988054086,49,4026.0
165.0,65,18,53,69,134,0,4286.0,65.93846153846154,1.8856210766480546,53,4286.0,0.05246727757872636,53,4286.0
170.0,65,22,53,71,136,0,4551.0,70.01538461538462,2.1007770783255904,53,4551.0,0.08392796460144307,53,4551.0
175.0,65,22,55,73,138,0,4816.0,74.0923076923077,1.7820373349731502,55,4816.0,0.07373640491067569,55,4816.0
180.0,63,22,55,75,138,0,5086.0,80.73015873015873,1.565535482528952,55,5086.0,0.05515719184804812,55,5086.0
185.0,70,26,55,76,146,0,5361.0,76.58571428571429,1.9722963666734918,55,5361.0,0.08699610836436046,55,5361.0
190.0,70,26,55,78,148,0,5636.0,80.51428571428572,2.5051078351728546,55,5636.0,0.1342425910297906,55,5636.0
195.0,71,30,59,79,150,0,5917.0,83.33802816901408,1.5707326984660257,59,5917.0,0.05009349316584497,59,5917.0
200.0,71,30,62,83,154,0,6218.0,87.5774647887324,1.126905140443486,62,6218.0,0.05983361039944718,62,6218.0
