step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,2,0,0,0,2,0,0.0,0.0,12.645881836410073,0,0.0,0.9657145642577656,0,0.0
10.0,5,0,0,0,5,0,0.0,0.0,13.060579386867696,0,0.0,0.9615358353312219,0,0.0
15.0,9,0,0,0,9,0,0.0,0.0,11.582851119533746,0,0.0,0.8814427196888246,0,0.0
20.0,12,0,0,0,12,0,0.0,0.0,9.995949618386144,0,0.0,0.7869280132348032,0,0.0
25.0,16,0,1,0,16,0,4.0,0.25,11.496600413917474,1,4.0,0.8293610940809475,1,4.0
30.0,19,0,3,0,19,0,12.0,0.631578947368421,10.977508710550707,3,12.0,0.6869997247992622,3,12.0
35.0,19,0,3,4,23,0,27.0,1.4210526315789473,9.920496808235736,3,27.0,0.6451521691038825,3,27.0
40.0,21,0,2,7,28,0,3.0,0.14285714285714285,8.728419815711767,2,14.0,0.5932029633813747,2,14.0
45.0,21,0,5,10,31,0,22.0,1.0476190476190477,7.4481657166986,5,22.0,0.4172935381521489,5,22.0
50.0,23,0,10,11,34,0,63.0,2.739130434782609,5.1538205445667415,10,63.0,0.2600685513792459,10,63.0
55.0,21,0,16,15,36,0,130.0,6.190476190476191,2.9865307838823347,16,130.0,0.18892458473672719,16,130.0
60.0,27,0,17,15,42,0,212.0,7.851851851851852,4.3081259148488735,17,212.0,0.26945879503201975,17,212.0
65.0,31,0,18,15,46,0,301.0,9.709677419354838,4.096394696905651,18,301.0,0.2315273005529465,18,301.0
70.0,35,0,23,16,51,0,404.0,11.542857142857143,3.5556042249075803,23,404.0,0.19817587548089002,23,404.0
75.0,35,0,27,18,53,0,531.0,15.17142857142857,1.8868402138711158,27,531.0,0.06369162903671972,27,531.0
80.0,36,0,30,19,55,0,679.0,18.86111111111111,1.6106157785395372,30,679.0,0.046109928091619054,30,679.0
85.0,37,0,32,21,58,0,836.0,22.594594594594593,1.1304815795154128,32,836.0,0.065666467067446,32,836.0
90.0,39,0,35,21,60,0,1002.0,25.692307692307693,0.5770305601856702,35,1002.0,0.025003389390766576,35,1002.0
95.0,38,0,37,22,60,0,1186.0,31.210526315789473,0.2872977867192478,37,1186.0,3.80598994319164e-06,37,1186.0
100.0,40,2,38,22,62,0,1373.0,34.325,0.6337832434785137,38,1373.0,0.024049821438580133,38,1373.0
105.0,40,4,38,23,63,0,1563.0,39.075,0.7299704766031476,38,1563.0,0.049029939013257993,38,1563.0
110.0,41,7,38,23,64,0,1753.0,42.75609756097561,1.055154251520653,38,1753.0,0.048307669406186936,38,1753.0
115.0,44,10,38,23,67,0,1943.0,44.15909090909091,1.9807014202428634,38,1943.0,0.09266577867712711,38,1943.0
120.0,46,13,38,24,70,0,2133.0,46.369565217391305,2.387022829283541,38,2133.0,0.13037420038823663,38,2133.0
125.0,45,16,38,25,70,0,2323.0,51.62222222222222,2.086518803060661,38,2323.0,0.06846919918102952,38,2323.0
130.0,45,19,38,26,71,0,2513.0,55.84444444444444,2.0607257388355933,38,2513.0,0.06989592643638647,38,2513.0
135.0,43,20,38,28,71,0,2703.0,62.86046511627907,1.4965708127268476,38,2703.0,0.025467408320301966,38,2703.0
140.0,43,24,38,29,72,0,2893.0,67.27906976744185,1.5651572016533206,38,2893.0,0.02471829739574403,38,2893.0
