step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.560202333969196,0,0.0,0.962396044479365,0,0.0,0.9625105285202779,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9566193820256338,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9615291834841935,0,0.0,0.9662544199217572,0,0.0,0.9634092342112895,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9648725198271161,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.117724156439333,0,0.0,0.9509206928541425,0,0.0,0.9520823005885373,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9522506568865373,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9514658771645416,0,0.0,0.952518767066865,0,0.0,0.9261061133571176,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8717137515746738,0,0.0,1.0,0,0.0
15.0,40,0,3,0,40,0,7.0,0.175,11.367399549789537,1,2.0,0.8115860320669821,0,0.0,0.9468248507623918,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5787289240969269,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9567252981715738,0,0.0,0.9467583643843156,1,2.0,0.6800619780052929,0,0.0,0.9314100515297616,0,0.0,0.9235755537868667,0,0.0,0.9447067313595874,1,3.0,0.6810024747453085,0,0.0,1.0,3,7.0
20.0,56,0,5,0,56,0,16.0,0.2857142857142857,10.283433849555783,1,1.0,0.7821232159870541,0,2.0,0.8067880654162377,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8175459667418019,0,4.0,0.47237765771532303,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9666658596811336,2,3.0,0.5277409813355504,2,12.0,0.5160428585485216,0,0.0,0.9542266302837724,0,0.0,0.9448123476952963,0,0.0,1.0,0,0.0,0.8306579850641915,0,3.0,0.4337395568549651,5,25.0
25.0,72,0,10,0,72,0,56.0,0.7777777777777778,10.171233520603051,1,6.0,0.6984270760171926,0,2.0,0.864731955182169,0,0.0,0.9126899855829086,0,0.0,0.9447067313595874,0,0.0,0.9724800677199336,0,4.0,0.8740207006473021,0,0.0,1.0,0,0.0,1.0,0,0.0,0.760472877100945,3,16.0,0.5076086350741077,5,33.0,0.40546895965880553,1,1.0,0.7156620970247625,0,0.0,0.9407191950716259,0,0.0,1.0,0,0.0,0.9546022690639797,0,3.0,0.8789539828679279,10,65.0
30.0,80,0,21,0,80,0,137.0,1.7125,8.609265231005896,4,22.0,0.5908368031390893,1,6.0,0.7576661017095914,0,0.0,0.9617754025368956,0,0.0,0.31392441761169715,0,0.0,0.945300998754067,0,2.0,0.92136296541844,0,0.0,1.0,0,0.0,1.0,2,7.0,0.4955160920395045,5,35.0,0.3848438964324952,6,60.0,0.29288857074164293,3,9.0,0.17931399534281886,0,0.0,0.9869095284671274,0,0.0,1.0,0,0.0,0.9375233981123572,0,3.0,0.8809513706057794,21,144.0
35.0,96,0,31,0,96,0,269.0,2.8020833333333335,7.622479736122763,5,44.0,0.5261228965507948,3,17.0,0.6228141739899993,0,0.0,0.7350184464846138,0,0.0,1.0,0,0.0,0.9251138317271962,0,0.0,0.9157521785989899,0,0.0,0.9138971144077473,0,1.0,0.38336150679883796,3,20.0,0.6308498392735522,7,63.0,0.24491217658900147,8,97.0,0.2704043369831743,4,26.0,0.0005456715539586673,0,0.0,1.0,0,0.0,1.0,1,2.0,0.770194119236533,0,0.0,0.7871878852636583,31,270.0
40.0,112,0,41,0,112,0,414.0,3.6964285714285716,7.166561888375789,7,75.0,0.44766722237667245,5,39.0,0.5225402029598617,2,4.0,0.7261704263947736,0,0.0,1.0,1,1.0,0.6569526915233226,0,0.0,0.9641307681911766,0,0.0,0.8683131129349965,0,1.0,0.8999685481364811,5,41.0,0.551286622478612,9,104.0,0.29075785617104194,10,141.0,0.21913361268816595,0,15.0,0.17264051405185526,0,0.0,1.0,0,0.0,1.0,2,9.0,0.6494957961121621,0,0.0,0.9155817607172505,41,430.0
45.0,120,0,43,0,120,0,569.0,4.741666666666666,6.515425569842131,9,116.0,0.33566056482641277,7,73.0,0.4433181785137824,0,0.0,0.6696466751245529,0,0.0,1.0,3,12.0,0.42461396522393613,0,0.0,1.0,0,2.0,0.8028171603521284,0,0.0,0.9330354057589142,1,31.0,0.521891751421814,10,151.0,0.19142242062745532,11,194.0,0.15445463406640386,0,0.0,1.0,0,4.0,0.3736313122113409,0,0.0,1.0,2,19.0,0.5739275352391461,0,4.0,0.8929191912136194,43,606.0
50.0,136,0,60,0,136,0,799.0,5.875,5.778665264389838,12,169.0,0.30865131384379735,9,112.0,0.3934668589410837,3,7.0,0.2736206971838078,0,0.0,1.0,5,34.0,0.3274261735609573,0,0.0,1.0,1,6.0,0.4645559494344148,0,0.0,0.9597655573764701,3,14.0,0.5598803474690994,13,208.0,0.1783456176583378,14,259.0,0.1265975093132042,0,0.0,1.0,0,4.0,0.8833575234144814,0,0.0,1.0,0,0.0,0.669058637282369,0,4.0,0.9242788044919102,60,817.0
55.0,151,0,78,1,152,0,1108.0,7.337748344370861,5.409916732290321,13,231.0,0.31967518033085324,11,164.0,0.3279778482186932,7,33.0,0.21503934403378086,0,0.0,1.0,1,29.0,0.5459395387911855,0,2.0,0.721711645893382,6,27.0,0.37833035061984377,1,1.0,0.4638750378838194,6,36.0,0.5192863408903513,14,274.0,0.1638076041696586,16,334.0,0.12020876964886708,0,0.0,1.0,0,4.0,0.8889544097294177,0,0.0,1.0,2,8.0,0.5663134176617816,1,3.0,0.6171141915372512,78,1146.0
